"(False, False, False, False, False, False, False, False)","[192.16888246955023, 199.99992559268892, 189.39460174989645, 198.84604634532403]"
"(False, False, True, False, False, False, False, False)","[194.60810757562817, 79.04880444487767, 192.30090816771548, 199.85718702061854]"
"(False, False, True, False, True, False, False, True)","[200.3323292281703, 80.65473608556374, 205.39831199118606, 199.79726388331383]"
"(False, False, True, False, True, False, False, False)","[215.29011433233018, 80.88488132516324, 184.50576003014476, 72.48348388824729]"
"(True, False, False, False, True, False, False, False)","[206.02241427307925, 0.0, 0.0, 0.0]"
"(True, False, False, False, False, False, False, False)","[199.78009029651548, 199.69223559147616, 78.03949741032056, 199.9999822899262]"
"(False, False, True, True, False, False, False, False)","[23.509251359605347, -9.55516053890863, 57.11716116987201, 199.82045000964123]"
"(True, True, True, False, False, False, False, False)","[197.75158960226247, 0.0, 0.0, 0.0]"
"(False, True, False, False, False, False, False, False)","[131.31327744165102, 158.45267600341737, 191.76550773584484, 55.77042906531843]"
"(False, False, True, False, True, False, True, False)","[213.00271920528792, 104.06690832500232, 208.4275790986008, 160.76505961369227]"
"(True, False, True, True, False, False, False, False)","[-51.902199999999986, 33.00172528874246, -57.901427163505765, 199.77402203876795]"
"(False, False, False, True, False, False, False, False)","[79.38209786233625, 199.48658272772326, 187.34099820174782, 199.99996563280487]"
"(False, False, True, True, True, False, False, True)","[43.66617702451093, 62.223081119242366, 202.40499935576636, 0.0]"
"(True, False, True, True, True, False, False, True)","[-44.64676938588954, 37.55399016819667, -63.87898431211412, 209.31816199424435]"
"(False, True, False, True, False, False, False, False)","[-2.2014797208868515, 198.7700325351128, 145.43206711388905, 74.67736928916095]"
"(True, True, True, True, False, False, False, False)","[-45.33947385006228, -44.7852519350851, -70.0, 48.26538212231404]"
"(False, True, False, True, True, False, True, False)","[-27.43965354488729, 196.77824338680625, 207.7845304691337, 79.73241937415804]"
"(True, True, True, True, True, False, True, False)","[-167.10099673790154, -163.69530830223636, -121.77063392734479, -182.59948140800802]"
"(False, False, True, False, False, True, True, False)","[203.05486460562463, 94.11999732876458, 181.19561194944256, 152.84498139569732]"
"(False, False, True, True, False, True, True, False)","[68.69028425880136, 37.761087614408694, 200.9135876195777, 64.76261077559198]"
"(True, True, True, False, False, True, True, False)","[182.92094061946415, 109.36193119933175, 19.278020313517672, 11.625976789950762]"
"(True, False, False, False, True, False, True, False)","[212.77916649238105, 178.4175987220629, 82.36528581209967, 197.3821134282734]"
"(False, False, True, True, True, False, True, False)","[115.61859124539103, 36.89967331848908, 211.398797836768, 164.91287954773082]"
"(True, True, True, True, False, True, True, False)","[100.98228156175631, -262.65568275402086, 45.43260432720068, -275.74549139515545]"
"(True, False, True, False, False, False, False, False)","[199.8776235877952, -90.9846531994624, 77.05117657003125, 197.33106202560816]"
"(False, False, True, False, False, True, False, True)","[109.11666930484554, 65.6982457202278, 71.41450688421205, 207.07034839586626]"
"(False, False, True, False, False, True, False, False)","[93.14484985011353, -70.0, 137.1289497491031, 196.40461562058005]"
"(False, True, False, False, False, True, False, True)","[165.02789593614537, 195.50100266313416, 204.95900912408692, 87.88554137983617]"
"(True, False, True, False, False, True, False, True)","[192.23082649940756, 67.79121123518811, 13.220469016360639, 152.32781966373992]"
"(False, True, False, False, True, False, False, True)","[197.48233032796185, 198.81426637452964, 204.3236314417593, 81.93138820862856]"
"(True, False, True, False, True, False, True, False)","[156.50678893283114, -45.94267667163024, -32.61491541219289, 212.79549683518707]"
"(True, False, True, True, True, False, True, False)","[76.84615788759166, -36.55016436065047, -67.7163072816009, 199.8719325054731]"
"(False, True, False, False, False, False, True, False)","[207.8558979776963, 19.46, 0.0, 56.728830717592764]"
"(False, False, True, False, False, False, True, False)","[204.97089428975187, 79.36335003387296, 199.19279892948822, 188.32883513645396]"
"(False, True, False, False, False, True, True, False)","[203.20751365944545, 178.24667926977762, 179.9843723801372, 17.62687016667335]"
"(False, True, False, True, False, True, True, False)","[28.333339511194765, 197.27101425094506, 141.87383131098542, 89.73384914183903]"
"(True, False, True, False, False, True, True, False)","[198.92979050371724, -86.24005563990285, 81.83468335319769, 83.47506634820297]"
"(True, False, True, False, True, False, False, True)","[205.8158404277473, -15.301023813636617, 32.17584663691492, 193.07888209237848]"
"(True, True, True, False, False, True, False, True)","[202.02629824759728, -118.64826854454823, -42.70109345363317, 49.76313374346363]"
"(False, True, True, False, False, True, True, False)","[102.87208326053259, 59.631771524377825, 202.88570588012573, -52.42223669598015]"
"(True, False, False, False, False, True, True, False)","[188.1434602568841, 201.00061829285366, 17.6321690108389, 181.43461378452764]"
"(True, False, False, False, False, True, False, True)","[198.33413959457866, 201.63311476110232, 84.09195155617037, 145.49045233166015]"
"(False, True, False, False, True, False, True, False)","[213.2750272253522, 168.64257052549272, 177.9245228736449, 90.35704671796933]"
"(False, True, True, False, False, True, False, False)","[210.35926674218152, 0.0, 0.0, 0.0]"
"(False, True, True, False, True, False, True, False)","[214.63387153663456, 107.93066276301192, 190.48169908119505, 47.03830038111211]"
"(True, True, False, True, False, False, False, False)","[-41.98170274640567, 196.04653368359715, 0.0, 0.0]"
"(False, False, True, True, False, True, False, True)","[-56.98, -69.56710443917733, 60.175743331858314, 204.59998994913002]"
"(False, False, True, True, False, False, True, False)","[88.17311598972745, 52.24221270174438, 198.5622209679347, -40.74584634532849]"
